text,label
Have never been so outrageously grateful for a slight cool breeze drifting over my body. Is this the future? #nakedtimes #SemST,2
If sea levels get any higher flooding in lowlands could become dire. #SemST,2
"First listen, then conviction, next action - Dali Lama on #Glasto2015 #SemST",0
"The same ppl who think Paul spoke ""for God"" when denouncing gays also think the current Pope does not speak for God. #SemST",0
@user @user @user We should worry about the state he's going to leave #Australia in. #NBN Fraudband #refugees #SemST,0
Inland so cal has been hot and humid all day. This seems to be our summers - muggy. So strange. #SemST,2
"After the Millennials come the Apocalypticals. Thanks, breeders. #overpopulation #SemST",0
Greenland's ice is melting faster this summer under a dome of high pressure #SemST,2
"We need to work with confidence, transparence and guided by consensus @user at @user event on #action2015 #SemST",0
Population growth is only a problem because humans treat the earth like shit.  #govegan #environment #SemST,2
Do #Catholics follow #God's word or this #Pope's ramblings?  #SemST,0
The ruling by @user is a major setback for @user & the environment.  #dirtycoal #SemST,2
The last thing #Australia or the world needs are 2 more vast earth destroying #coal mines! Let's get real and fight  #auspol #SemST,2
@user states the media needs to promote the damage of climate change. How bout you #Bolt? #ForeignCorrespondent #SemST,2
"If ozone science had been ignored by your dad, @user we would be in dire straits right now. Could you thank him for us? #SemST",2
@user @user The human mind is incapable of dealing with that of which it has no experience  #SemST,0
Climate change is an emergency. Stop denial and start taking steps. #climatehealth #SemST,2
"@user I suspect that @user may well just prefer to stick to his, erm, principles on this one. #SemST",0
"@user not to worry, our real enemy is #Obama #SemST",0
Enjoying watching Sir David Attenborough and Obama talk about climate change mitigation #LoveNature #SemST,2
@user @user @user @user @user #EngineeringInnovation. Future Green Tech to deal with #SemST,2
"We cant deny it, its really happening.  #SemST",2
"Macro problems face us all, but people focus on micro problems because they are within our immediate power to fix #SemST",2
Glad for the millions of lives improved this week. Now let's set our sights on helping millions more. #ImmigrationAction #SemST,0
@user Time to change the Government! #fracking #C02 #methane #pollution #cancer #health #earthquake #water #leaks #SemST,2
"When the Last Tree Is Cut Down, the Last Fish Eaten & the Last Stream Poisoned, You Will Realize That You Cannot Eat Money #SemST",2
#SpaceX is looking like major litterbug! Do they clean up the debris. It's $1500 if I litter hi-way. Space X #SemST,0
Building Renovations. Turn $10MM into $1MMM over time. #business #money #wallstreet #enterprise #entrepreneur #engineering #SemST,0
"@user I'll bomb anything I can get my hands on, especially if THEY aren't christian. #graham2016 #GOP #SemST",0
If it doesn't warm up soon @user I want my money back on the panels for misselling. #45Minutes #dodgydata #Drtker #SemST,0
#SavingMyTomorrow @user why are you guys not promoting this like crazy???? #HBO #SemST,0
